id,text_no_spaces,predicted_positions
281,куплюдиванкожаный,"[5, 11]"
282,ищуработудизайнером,"[3, 10]"
283,новыйхолодильникдоставка,"[5, 17]"
284,куплютелевизорOLED,"[5, 15]"
285,ищустудиюсремонтом,"[3, 10, 12]"
286,сдамкомнатубезмебели,"[4, 12, 16]"
287,куплюпылесосXiaomi,"[5, 13, 18]"
288,ищурепетиторапорусскому,"[3, 14, 17]"
289,новаямебельназаказ,"[5, 12, 15]"
290,куплюнаушникиSony,"[5, 14]"
291,ищумастерапомебели,"[3, 11, 14]"
292,сдамдачуналето,"[4, 9, 12]"
293,ищуработутестировщиком,"[3, 10, 22]"
294,новыйтелефонHonor,"[5, 13]"
295,куплюматрасбу,"[5, 12]"
296,ищусобакубигля,"[3, 10]"
297,сдамгаражвцентре,"[4, 10, 12]"
298,куплюноутбукAcer,"[5, 13]"
299,ищустудиюнадлительныйсрок,"[3, 10, 13, 24]"
300,новыйдиванвналичии,"[5, 11, 13]"
301,куплюстолобеденный,"[5, 10]"
302,ищуврачатерапевта,"[3, 9]"
303,сдаюквартирусремонтом,"[4, 13, 15]"
304,куплюмиксерBosch,"[5, 12]"
305,ищуподработкувечером,"[3, 14]"
306,новаякурткамужская,"[5, 12]"
307,куплютелевизорJVC,"[5, 15]"
308,ищурепетиторапоинформатике,"[3, 14, 17]"
309,сдамдомуморя,"[4, 9]"
310,куплюпланшетHuawei,"[5, 13]"
311,ищуработуменеджером,"[3, 10]"
312,новыйноутбукDell,"[5, 13]"
313,куплюкреслокомпьютерное,"[5, 12]"
314,ищусобакуджекрассел,"[3, 10, 15, 19]"
315,сдамстудиюбезпосредников,"[4, 11, 15]"
316,куплювелосипедGiant,"[5, 15]"
317,ищуврачахирурга,"[3, 9]"
318,новыйпылесосдоставка,"[5, 13]"
319,куплюайфон13,"[5, 11]"
320,сдамкомнатудлядевушки,"[4, 12, 16]"
321,куплюхолодильникновый,"[5, 17]"
322,ищуработуводителем,"[3, 10]"
323,новыйдиванугловой,"[5, 11]"
324,ищустудиюсмебелью,"[3, 10, 12]"
325,сдамдачунедорого,"[4, 9]"
326,куплюмикроволновкубу,"[5, 19]"
327,ищусобакупуделя,"[3, 10]"
328,новыйтелевизорTCL,"[5, 15]"
329,куплюноутбукAsus,"[5, 13]"
330,ищуучителяфранцузского,"[3, 11]"
331,ищурепетиторапоалгебре,"[3, 14, 17]"
332,новаякухнявналичии,"[5, 11, 13]"
333,куплюкомпьютерDell,"[5, 15]"
334,ищуработупродавцом,"[3, 10]"
335,куплютелевизорSharp,"[5, 15]"
336,ищусобакулайку,"[3, 10]"
337,продамдиванбу,"[6, 12]"
338,2024год,[4]
339,ищуработупрограммистомудаленно,"[3, 10, 24]"
340,"холодильниксломался,помогитесрочно","[11, 21, 30]"
341,АВТОМОЙКАРЯДОМ,[9]
342,телевизорLG55,"[9, 12]"
343,МоскваIkeaдоставка,"[6, 11]"
344,срочноищуквартирууметро,"[6, 10, 19, 21]"
345,"ноутбукневключается,чтоделать?","[7, 10, 22, 26]"
346,новыйстолIkeaдоставка,"[5, 10, 15]"
347,продаюкошкувхорошиеруки,"[6, 12, 14, 22]"
348,Windows11незапускается,"[7, 10, 13]"
349,продаюPlaystation5почтиновая,"[6, 18, 20, 26]"
350,квартирасремонтомимебелью,"[8, 10, 19, 21]"
351,"Avitoнеоткрывается,помогите","[3, 6, 9, 22]"
352,хочукупитьвелосипедбу,"[4, 11, 21]"
353,ищурепетиторапоматематике,"[3, 14, 17]"
354,сушидоставканочью,"[4, 13]"
355,нужнапомощьвпереездесрочно,"[5, 12, 14, 23]"
356,айфон14промакс,"[5, 8, 12]"
357,ищуключиотмашины,"[3, 9, 12]"
358,Сбербанкнеработаетбанкомат,"[8, 11, 20]"
359,продаюкомодбуторг,"[6, 12, 18]"
360,куплюцветырозытюльпаны,"[5, 11, 16]"
361,хочузаказатьтаксиваэропорт,"[4, 13, 19, 21]"
362,ищудомвдеревненалето,"[3, 7, 9, 17, 20]"
363,куплюноутбукдляигр,"[5, 13, 17]"
364,отдамдаромстарыйшкаф,"[5, 11, 18]"
365,ищумастерапоремонтуноутбуков,"[3, 11, 14, 22]"
366,автосервиспоблизости,[10]
367,продаюiPhoneXR,"[6, 13]"
368,ищуквартирувМосквенедорого,"[3, 12, 14, 21]"
369,собакапотеряласьнаулице,"[6, 17, 20]"
370,ищуработуофициантомвечером,"[3, 10, 21]"
371,подарюкотенкахорошимлюдям,"[6, 14, 22]"
372,SamsungA54новый,"[7, 9, 12]"
373,квартирастудиядолгосрочно,"[8, 15]"
374,ИвановИванСергеевич,"[6, 11, 13]"
375,ищуавтозапчастинаВАЗ,"[3, 16, 19]"
376,сломалсяпылесосSamsung,"[8, 16]"
377,срочнонуженмастер-сантехник,"[6, 12]"
378,ищудешевыеавиабилеты,"[3, 11]"
379,куплюбилетывтеатр,"[5, 12, 14]"
380,новыйхолодильникдешево,"[5, 17]"
381,iPhone15Pro,"[6, 9]"
382,ремонтобувирядом,"[6, 12]"
383,сдамкомнатустуденту,"[4, 12]"
384,хочузаказатьсуши!,"[4, 13]"
385,"ноутбукзависаетчасто,чтоделать","[7, 16, 23, 27]"
386,ЯндексЕданеработает,"[7, 10, 13]"
387,ищузапчастинаВАЗ2107,"[3, 12, 15, 19]"
388,ремонтiPhoneбыстро,"[6, 13]"
389,хочукупитьсамокатребенку,"[4, 11, 19]"
390,ищурепетиторапоанглийскому,"[3, 14, 17]"
391,сдаюквартирупосуточно,"[4, 13]"
392,доставкаедыМосква,"[8, 12]"
393,продамкурткубу,"[6, 13]"
394,куплюколесазима,"[5, 12]"
395,ремонткомпьютеровнедорого,"[6, 18]"
396,продаюстулIkea,"[6, 11]"
397,автостеклозамена,"[4, 11]"
398,нуженмастерпомебели,"[5, 12, 15]"
399,куплюдетскуюколяску,"[5, 13]"
400,продаюXboxSeriesS,"[6, 11, 18]"
401,хочукупитьмороженое,"[4, 11]"
402,ремонтiPhoneМосква,"[6, 13]"
403,хочукофелатте,"[4, 9]"
404,"IKEAзакрылась,чтоделать?","[4, 15, 19]"
405,ищуподругудляобщения,"[3, 11, 15]"
406,срочнонуженрепетитор,"[6, 12]"
407,"потерялпаспорт,помогите","[7, 16]"
408,куплюдетскиевещи,"[5, 13]"
409,ремонтiPhoneсрочно,"[6, 13]"
410,ищуавтоспробегом,"[3, 8, 10]"
411,куплюiPhone12,"[5, 12]"
412,новыйдивандоставка,"[5, 11]"
413,квартирасремонтомнедорого,"[8, 10, 19]"
414,хочукупитьтелевизорSamsung,"[4, 11, 21]"
415,срочнопродаювелосипедбу,"[6, 13, 23]"
416,ищустудентадляпомощи,"[3, 12, 16]"
417,МоскваСбербанкбанкомат,"[6, 15]"
418,ищумебельбунедорого,"[3, 10, 13]"
419,ноутбукAsusROG,"[7, 12]"
420,хочузаказатьпиццу,"[4, 13]"
421,сдаюквартирунамесяц,"[4, 13, 16]"
422,ищудешёвыйтелефон,"[3, 11]"
423,продаммониторбу,"[6, 14]"
424,ищуспециалистапоремонту,"[3, 15, 18]"
425,куплюгитарунедорого,"[5, 12]"
426,ищукнигупоистории,"[3, 9, 12]"
427,старыйтелевизорработает,"[6, 16]"
428,куплюсамокатдетский,"[5, 13]"
429,"ищусобаку,пропала","[3, 11]"
430,Аятанцуюпьяныйподдождём,"[1, 3, 10, 17, 21]"
431,"Курилитолькосиги,есличё","[6, 13, 19, 24]"
432,Нашобразжизнистанетпалачом,"[3, 9, 15, 22]"
433,Нискольконежалеюниочём,"[9, 12, 18, 21, 23]"
434,"Грустно,когдарасписанывсемаршруты","[8, 14, 24, 28]"
435,Когданачасахважныминуты,"[5, 8, 14, 20]"
436,Ивсенасветесталокак-тоскучноиглупо,"[1, 5, 8, 14, 20, 27, 34, 36]"
437,"Мояшизазнает,когданажатьнаплей","[3, 8, 15, 21, 28, 31]"
438,"Неждименяродная,закрывайназамокдверь","[2, 6, 11, 19, 28, 31, 37]"
439,"Утродоброе,держименяфонарь","[4, 12, 18, 23]"
440,"Очкитёмные,спрячьтемнеглаза","[4, 12, 21, 25]"
441,"Солнцеяркое,прошусогрейменя","[6, 13, 19, 26]"
442,"Быловесело,ноябнеповторял","[4, 12, 17, 20]"
443,Якалендарьперевернул,"[1, 11]"
444,Исноватретьесентября,"[1, 7, 14]"
445,Нафотоятвоёвзгляну,"[2, 7, 9, 14]"
446,"Нопочему,нопочему","[2, 10, 13]"
447,Расстатьсявсёженампришлось?,"[10, 14, 20]"
448,Ведьбыловсёунасвсерьёз,"[4, 9, 13, 15, 19]"
449,Второгосентября,[7]
450,Журавлейбелыйклин,"[8, 14]"
451,Твоядочьимойсын—,"[4, 9, 11, 15, 19]"
452,Всехотяттеплотыиласки,"[3, 9, 17, 19]"
453,"Мывлюбовь,каквигру,","[2, 4, 12, 16, 18]"
454,Нахолодномветру,"[2, 11]"
455,Поигралистобой,"[8, 10]"
456,Нопришёлсамсобой,"[2, 9, 13]"
457,"Выцветшаятень,выжженнаяна","[9, 15, 25]"
458,Городскомландшафтеменязовёт,"[9, 19, 24]"
459,Окнаянтарёмлижутмнеглаза,"[4, 12, 18, 22]"
460,Кровьислепотаволокутвперёд,"[5, 7, 15, 23]"
461,Лёгкиеопухли,[6]
462,Амороксквозьтолпу,"[1, 7, 14]"
463,"Манит,игнорируяменя","[6, 16]"
464,Толькобыдогнал,"[6, 9]"
465,Яегопочтидогнал,"[1, 5, 11]"
466,Телоисполняетсяогня,"[4, 16]"
467,"Сердцелупитмневгрудь,каквгонг","[6, 12, 16, 18, 25, 29, 31]"
468,Расползаясьпососудамраскатами,"[11, 14, 22]"
469,Ветхийгородприменяетзакон,"[6, 12, 22]"
470,Чтобыдваблизнецаоказалисьразъятыми,"[5, 9, 18, 28]"
471,"Ядавлюсь,изрыгаяогонь","[1, 10, 18]"
472,Глоткамивоздуха,[8]
473,Наальвеолахраспятыми,"[2, 12]"
474,Вэтомстробоскопическомкино,"[1, 6, 24]"
475,Длядостижениярубежа,"[3, 14]"
476,"Мненехватаетдыхания,но","[3, 6, 14, 23]"
477,Япродолжаючтоестьмочибежать,"[1, 11, 15, 20, 25]"
478,Толькоменябеспокоитодно,"[6, 11, 21]"
479,Лёгкиебудтопоеларжа,"[6, 12, 18]"
480,Япродолжаюзанимбежать,"[1, 11, 14, 18]"
481,"Яананас,ятакойжекакон","[1, 9, 11, 17, 20, 24]"
482,Колючийвнутриисовсехсторон,"[7, 14, 16, 19, 24]"
483,Нешутисомной,"[2, 7, 10]"
484,Ятропическийлев,"[1, 13]"
485,АркадийУкупник—кусающийлжец,"[2, 8, 10, 14, 17, 19, 21, 30]"
486,"Тот,ктовпятнадцатьлетубежализдома,","[4, 8, 10, 21, 25, 32, 35]"
487,"Врядлипойметтого,ктоучилсявспецшколе.","[6, 13, 19, 23, 30, 32]"
488,"Тот,укогоестьхорошийжизненныйплан,","[4, 6, 11, 16, 24, 34]"
489,Врядлибудетдуматьочем-тодругом.,"[6, 12, 19, 21, 28]"
490,"Мыпьемчайвстарыхквартирах,","[2, 7, 11, 13, 20]"
491,"Ждемлетавстарыхквартирах,","[4, 9, 11, 18]"
492,"Встарыхквартирах,гдеестьсвет,","[1, 8, 19, 23, 28]"
493,"Газ,телефон,горячаявода,","[4, 13, 21]"
494,"Радиоточка,пол-паркет,",[11]
495,"Санузелраздельный,домкирпичный,","[7, 19, 23]"
496,"Однасемья,двесемьи,трисемьи...","[4, 11, 15, 22, 26]"
497,"Многоподсобныхпомещений,","[5, 15]"
498,"Первыйипоследний-непредлагать,","[6, 8, 21]"
499,"Рядомсметро,центр...","[5, 7, 14]"
500,"Всеговорят,чтомыв-месте...","[3, 12, 16, 19]"
501,"Всеговорят,нонемногиезнают,вкаком.","[3, 12, 15, 24, 31, 33]"
502,Аизнашихтрубидетнеобычныйдым.,"[1, 4, 10, 15, 20, 30]"
503,Стой!Опаснаязона!Работамозга!..,"[5, 13, 19, 26]"
504,Пожалуйстанеумирай,"[10, 13]"
505,Илимнепридетсятоже,"[3, 7, 16]"
506,Тыконечносразуврай,"[2, 10, 16, 18]"
507,Аянедумаючтотоже,"[1, 3, 6, 12, 16]"
508,Хочешьсладкихапельсинов,"[6, 14]"
509,Хочешьвслухрассказдлинный,"[6, 12, 20]"
510,Хочешьявзорвувсезвезды,"[6, 8, 15, 19]"
511,Чтомешаютспать,"[3, 10]"
512,Пожалуйстатолькоживи,"[10, 17]"
513,Тыжевидишьяживутобою,"[2, 5, 12, 14, 19]"
514,Моейогромнойлюбви,"[4, 13]"
515,Хватитнамдвоимсголовою,"[6, 10, 16, 18]"
516,Хочешьмореспарусами,"[6, 11, 13]"
517,Хочешьмузыкновыхсамых,"[6, 12, 18]"
518,Хочешьяубьюсоседей,"[6, 8, 13]"
519,Хочешьсолнцевместолампы,"[6, 13, 20]"
520,ХочешьзаокошкомАльпы,"[6, 9, 17]"
521,Хочешьяотдамвсепесни,"[6, 8, 14, 18]"
522,Протебяотдамвсепесни,"[3, 8, 14, 18]"
523,"Яискалатебягодамидолгими,","[1, 8, 13, 20]"
524,Искалатебядворамитемными.,"[6, 11, 19]"
525,"Вжурналах,вкино,средидрузей.","[1, 11, 13, 19, 25]"
